Fecha;Provincia;test_rapidos_total;test_rapidos_positivos;test_antigenos_total;test_antigenos_positivos;pcr_total;pcr_positivos;codigo_ine;total_pruebas;total_pruebas_positivas;test_porcentaje;pcr_porcentaje;porcentaje_total;sigla;antigenos_porcentaje
2024-08-19;Soria;42499;2778;110166;22844;175445;11499;42173;328110;37121;6.536624391162145;6.55419077203682;11.313583859071654;SO;20
2024-08-19;Zamora;41798;1944;171079;41355;250573;20974;49275;463450;64273;4.650940236374946;8.370415008799831;13.868378465853922;ZA;24
2024-08-18;Ávila;47661;1998;213317;40008;199401;14364;5019;460379;56370;4.19210675394977;7.203574706245204;12.244259620877582;AV;18
2024-08-18;Burgos;78506;4528;395084;92492;562980;41752;9059;1036570;138772;5.7677120220110565;7.416249245088635;13.38761492229179;BU;23
2024-08-18;Soria;42499;2778;110141;22841;175434;11499;42173;328074;37118;6.536624391162145;6.554601730565341;11.313910885958656;SO;20
2024-08-18;Castilla y León;543276;32422;2744464;613394;3472147;282605;99999;6759887;928421;5.967869002127832;8.139200327635898;13.734268043238002;CyL;22
2024-08-18;León;94929;6582;558775;106819;587833;52163;24089;1241537;165564;6.933603008564296;8.8737787773058;13.335406033005862;LE;19
2024-08-18;Palencia;43255;1625;237899;46147;239867;21956;34120;521021;69728;3.756791122413594;9.153405845739513;13.382953854067303;PA;19
2024-08-18;Salamanca;62156;3994;299675;83901;433009;35899;37274;794840;123794;6.425767423901152;8.29058980298331;15.574706859242113;SA;27
2024-08-18;Segovia;44268;5266;182163;31737;243967;20338;40004;470398;57341;11.895726032348424;8.336373361971086;12.189890263138874;SE;17
2024-08-18;Valladolid;88204;3707;576356;148097;779091;63660;47186;1443651;215464;4.2027572445694075;8.171060890191262;14.924936844154162;VA;25
2024-08-18;Zamora;41798;1944;171054;41352;250565;20974;49275;463417;64270;4.650940236374946;8.370682258096702;13.868718670225736;ZA;24
2024-08-17;Burgos;78506;4528;395076;92491;562944;41749;9059;1036526;138768;5.7677120220110565;7.4161905979990905;13.387797315262715;BU;23
2024-08-17;Segovia;44268;5266;182152;31737;243955;20337;40004;470375;57340;11.895726032348424;8.33637351150827;12.19027371777837;SE;17
2024-08-17;Valladolid;88204;3707;576349;148097;779052;63659;47186;1443605;215463;4.2027572445694075;8.171341579252733;14.925343151346802;VA;25
2024-08-17;Zamora;41798;1944;171033;41349;250560;20974;49275;463391;64267;4.650940236374946;8.370849297573436;13.868849416583403;ZA;24
2024-08-17;Castilla y León;543276;32422;2744331;613373;3472022;282598;99999;6759629;928393;5.967869002127832;8.139291744119133;13.734378025776268;CyL;22
